Year,amounts_per_unitAmount5_1,amounts_per_unitAmount5_2,amounts_per_unitAmount5_3,amounts_per_unitAmount5_4,amounts_per_unitAmount5_5,amounts_per_unitAmount5_6,amounts_per_unitAmount5_7,amounts_per_unitAmount5_8,amounts_per_unitAmount5_9,amounts_per_unitAmount5_10,Annual Interest Rate,Bare Erected Cost,Depreciation Method,Engineering Procurement and Construction as % of BEC,Federal Tax Rate,filtered_values_json,General Inflation Rate,Internal Rate of Return,Price,Insurance Cost,Interest Proportion,Interest Type,Labor Cost,Loan Percentage of TOC,Loan Type,Maintenance Cost,Number of Units,Number of Construction Years,Plant,Principal Proportion,Process Contingency as % of BEC,"Project Contingency as % of BEC, EPC, PC",Feedstock Cost,Repayment Percentage Of Revenue,State Tax Rate,Direct Total Operating Cost Percentage as % of Revenue,Use Direct Operating Expenses,Utility Cost,Additional Annualized CAPEX (TOC)(Node 1: Biomass Plantation),Additional Annualized CAPEX (TOC)(Node 2: Clean Up and Pressurizing),Additional Annualized CAPEX (TOC)(Node 3: T&S),45 Q (mt CO2),45 V (kg H2),Premium of Adopting Sustainable Farming Practices ($ Feedstock basis),Transport Cost (kg H2 basis),Storage Cost (kg H2 basis),Total Operating Costs,Distance to Viability (Post Analysis Measure),Additional Annualized CAPEX (+% TOC($))(Node 1: Biomass Plantation),Additional Annualized CAPEX (+% TOC($))(Node 2: Clean Up and Pressurizing),Additional Annualized CAPEX (+% TOC($))(Node 3: T&S),45 Q ($/mt CO2),45 V ($/kg H2),Premium of Adopting Sustainable Farming Practices (+% $ Feedstock basis),Transport Cost ($/kg H2),Storage Cost ($/kg H2),Total Operating Costs +% OPEX($),Distance to Viability (Post Analysis Measure),Carbon Capture and Storage,Convenience Fee,variable_costsAmount4_1,variable_costsAmount4_2,variable_costsAmount4_3,variable_costsAmount4_4,variable_costsAmount4_5,variable_costsAmount4_6,variable_costsAmount4_7,variable_costsAmount4_8,variable_costsAmount4_9,variable_costsAmount4_10
11,0,0,0,0,0,0,0,0,0,0,0.04,200000,Straight-Line,0,0.21,"['{""filteredValue"":{""id"":""iRRAmount30"",""value"":""0.9369"",""start"":""20"",""end"":""20"",""remarks"":""2023""}}']",0,0.05,2,500,0.5,fixed,24000,0.2,simple,2500,30000,1,20,0.5,0,0,10000,0.1,0.05,0.1,False,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0.04,200000,Straight-Line,0,0.21,"['{""filteredValue"":{""id"":""iRRAmount30"",""value"":""0.9369"",""start"":""20"",""end"":""20"",""remarks"":""2023""}}']",0,0.05,2,500,0.5,fixed,24000,0.2,simple,2500,30000,1,20,0.5,0,0,10000,0.1,0.05,0.1,False,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0.04,200000,Straight-Line,0,0.21,"['{""filteredValue"":{""id"":""iRRAmount30"",""value"":""0.9369"",""start"":""20"",""end"":""20"",""remarks"":""2023""}}']",0,0.05,2,500,0.5,fixed,24000,0.2,simple,2500,30000,1,20,0.5,0,0,10000,0.1,0.05,0.1,False,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0.04,200000,Straight-Line,0,0.21,"['{""filteredValue"":{""id"":""iRRAmount30"",""value"":""0.9369"",""start"":""20"",""end"":""20"",""remarks"":""2023""}}']",0,0.05,2,500,0.5,fixed,24000,0.2,simple,2500,30000,1,20,0.5,0,0,10000,0.1,0.05,0.1,False,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0.04,200000,Straight-Line,0,0.21,"['{""filteredValue"":{""id"":""iRRAmount30"",""value"":""0.9369"",""start"":""20"",""end"":""20"",""remarks"":""2023""}}']",0,0.05,2,500,0.5,fixed,24000,0.2,simple,2500,30000,1,20,0.5,0,0,10000,0.1,0.05,0.1,False,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0.04,200000,Straight-Line,0,0.21,"['{""filteredValue"":{""id"":""iRRAmount30"",""value"":""0.9369"",""start"":""20"",""end"":""20"",""remarks"":""2023""}}']",0,0.05,2,500,0.5,fixed,24000,0.2,simple,2500,30000,1,20,0.5,0,0,10000,0.1,0.05,0.1,False,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0.04,200000,Straight-Line,0,0.21,"['{""filteredValue"":{""id"":""iRRAmount30"",""value"":""0.9369"",""start"":""20"",""end"":""20"",""remarks"":""2023""}}']",0,0.05,2,500,0.5,fixed,24000,0.2,simple,2500,30000,1,20,0.5,0,0,10000,0.1,0.05,0.1,False,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0.04,200000,Straight-Line,0,0.21,"['{""filteredValue"":{""id"":""iRRAmount30"",""value"":""0.9369"",""start"":""20"",""end"":""20"",""remarks"":""2023""}}']",0,0.05,2,500,0.5,fixed,24000,0.2,simple,2500,30000,1,20,0.5,0,0,10000,0.1,0.05,0.1,False,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0.04,200000,Straight-Line,0,0.21,"['{""filteredValue"":{""id"":""iRRAmount30"",""value"":""0.9369"",""start"":""20"",""end"":""20"",""remarks"":""2023""}}']",0,0.05,2,500,0.5,fixed,24000,0.2,simple,2500,30000,1,20,0.5,0,0,10000,0.1,0.05,0.1,False,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0.04,200000,Straight-Line,0,0.21,"['{""filteredValue"":{""id"":""iRRAmount30"",""value"":""0.9369"",""start"":""20"",""end"":""20"",""remarks"":""2023""}}']",0,0.9369,2,500,0.5,fixed,24000,0.2,simple,2500,30000,1,20,0.5,0,0,10000,0.1,0.05,0.1,False,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
